1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
"BOB ""AGAIN"" CARNEY JR",ALICIA K. BENNETT,DON SAMUELS
JACKIE CHERRYHOMES,OLE SAVIOR,MARK ANDREW
DOUG MANN,MARK ANDREW,JACKIE CHERRYHOMES
STEPHANIE WOODRUFF,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,JAMES EVERETT,DOUG MANN
MARK ANDREW,BETSY HODGES,DON SAMUELS
JACKIE CHERRYHOMES,DON SAMUELS,MARK V ANDERSON
MARK ANDREW,JACKIE CHERRYHOMES,DON SAMUELS
BETSY HODGES,DON SAMUELS,JAMES EVERETT
MARK ANDREW,undervote,undervote
BETSY HODGES,MARK ANDREW,CAM WINTON
"ABDUL M RAHAMAN ""THE ROCK""",undervote,undervote
BETSY HODGES,DON SAMUELS,MARK ANDREW
CAM WINTON,CHRISTOPHER ROBIN ZIMMERMAN,undervote
MARK ANDREW,undervote,undervote
MARK ANDREW,undervote,undervote
MARK ANDREW,DAN COHEN,DON SAMUELS
MARK ANDREW,DON SAMUELS,JACKIE CHERRYHOMES
DON SAMUELS,MARK ANDREW,undervote
TONY LANE,undervote,undervote
MARK ANDREW,BETSY HODGES,DAN COHEN
BETSY HODGES,DON SAMUELS,CAM WINTON
JACKIE CHERRYHOMES,JACKIE CHERRYHOMES,JACKIE CHERRYHOMES
MARK ANDREW,MARK V ANDERSON,CAPTAIN JACK SPARROW
BETSY HODGES,MARK ANDREW,DON SAMUELS
CAM WINTON,KURTIS W. HANNA,undervote
BETSY HODGES,BOB FINE,JAMES EVERETT
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,DON SAMUELS,DAN COHEN
DOUG MANN,JAYMIE KELLY,BETSY HODGES
MARK ANDREW,BETSY HODGES,DON SAMUELS
MARK ANDREW,MARK V ANDERSON,STEPHANIE WOODRUFF
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
BETSY HODGES,STEPHANIE WOODRUFF,DON SAMUELS
MARK ANDREW,JACKIE CHERRYHOMES,undervote
DON SAMUELS,undervote,undervote
MARK ANDREW,DON SAMUELS,BETSY HODGES
MARK ANDREW,CAM WINTON,undervote
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
MARK ANDREW,CAM WINTON,undervote
BOB FINE,STEPHANIE WOODRUFF,BETSY HODGES
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,MARK ANDREW,undervote
DAN COHEN,DON SAMUELS,BETSY HODGES
DON SAMUELS,BETSY HODGES,CYD GORMAN
NEAL BAXTER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG
BOB FINE,DON SAMUELS,DAN COHEN
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
BETSY HODGES,MARK ANDREW,CAPTAIN JACK SPARROW
CAM WINTON,undervote,undervote
MARK ANDREW,BETSY HODGES,DON SAMUELS
MARK ANDREW,DON SAMUELS,JACKIE CHERRYHOMES
BETSY HODGES,MARK ANDREW,undervote
DAN COHEN,BETSY HODGES,MARK ANDREW
MARK ANDREW,DON SAMUELS,BETSY HODGES
BETSY HODGES,MARK ANDREW,undervote
BETSY HODGES,"ABDUL M RAHAMAN ""THE ROCK""",MARK V ANDERSON
BETSY HODGES,CAM WINTON,JACKIE CHERRYHOMES
CAM WINTON,DON SAMUELS,BETSY HODGES
BETSY HODGES,BOB FINE,MARK ANDREW
MARK ANDREW,undervote,undervote
DON SAMUELS,MARK ANDREW,CAM WINTON
DON SAMUELS,DAN COHEN,CAM WINTON
JACKIE CHERRYHOMES,JOSHUA REA,DOUG MANN
BETSY HODGES,JACKIE CHERRYHOMES,BOB FINE
BETSY HODGES,MARK ANDREW,undervote
EDMUND BERNARD BRUYERE,JACKIE CHERRYHOMES,BETSY HODGES
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,JACKIE CHERRYHOMES,undervote
JACKIE CHERRYHOMES,MARK ANDREW,DON SAMUELS
BETSY HODGES,DON SAMUELS,BOB FINE
CAM WINTON,BETSY HODGES,KURTIS W. HANNA
DON SAMUELS,BOB FINE,BETSY HODGES
CAM WINTON,CAPTAIN JACK SPARROW,KURTIS W. HANNA
DON SAMUELS,CAM WINTON,OLE SAVIOR
JOHN LESLIE HARTWIG,CAM WINTON,DAN COHEN
CAM WINTON,BETSY HODGES,ALICIA K. BENNETT
